rating_key,title,parent_title,grandparent_title,full_title,parent_media_index,media_index,media_type,studio,started,stopped,seconds,start_time,end_time,,,,,,,,,,,,
21650,Episode 2,Season 1,Animaniacs (2020),Animaniacs (2020) - Episode 2,1,2,episode,Hulu,1606937630,1606939135,1505,12/2/20 3:33 PM,12/2/20 3:58 PM,,,,,,,,,,,,
21652,Episode 4,Season 1,Animaniacs (2020),Animaniacs (2020) - Episode 4,1,4,episode,Hulu,1606939230,1606939859,629,12/2/20 4:00 PM,12/2/20 4:10 PM,,,,,,,,,,,,
52615,First touch,Season 1,Aoashi,Aoashi - First touch,1,1,episode,Production I.G,1656515147,1656516551,1404,6/29/22 11:05 AM,6/29/22 11:29 AM,,,,,,,,,,,,
39172,Welcome to the Playground,Season 1,Arcane,Arcane - Welcome to the Playground,1,1,episode,Fortiche Production,1640496298,1640499017,2719,12/26/21 1:24 AM,12/26/21 2:10 AM,,,,,,,,,,,,
39173,Some Mysteries Are Better Left Unsolved,Season 1,Arcane,Arcane - Some Mysteries Are Better Left Unsolved,1,2,episode,Fortiche Production,1640541740,1640542241,501,12/26/21 2:02 PM,12/26/21 2:10 PM,,,,,,,,,,,,
39174,The Base Violence Necessary for Change,Season 1,Arcane,Arcane - The Base Violence Necessary for Change,1,3,episode,Fortiche Production,1640576797,1640579405,2608,12/26/21 11:46 PM,12/27/21 12:30 AM,,,,,,,,,,,,
39175,Happy Progress Day!,Season 1,Arcane,Arcane - Happy Progress Day!,1,4,episode,Fortiche Production,1640661502,1640664156,2654,12/27/21 11:18 PM,12/28/21 12:02 AM,,,,,,,,,,,,
39176,Everybody Wants to Be My Enemy,Season 1,Arcane,Arcane - Everybody Wants to Be My Enemy,1,5,episode,Fortiche Production,1640664158,1640666501,2343,12/28/21 12:02 AM,12/28/21 12:41 AM,,,,,,,,,,,,
39177,When These Walls Come Tumbling Down,Season 1,Arcane,Arcane - When These Walls Come Tumbling Down,1,6,episode,Fortiche Production,1640735892,1640738445,2553,12/28/21 7:58 PM,12/28/21 8:40 PM,,,,,,,,,,,,
40194,The Boy Savior,Season 1,Arcane,Arcane - The Boy Savior,1,7,episode,Fortiche Production,1640798107,1640800632,2525,12/29/21 1:15 PM,12/29/21 1:57 PM,,,,,,,,,,,,
40195,Oil and Water,Season 1,Arcane,Arcane - Oil and Water,1,8,episode,Fortiche Production,1640915656,1640917130,1474,12/30/21 9:54 PM,12/30/21 10:18 PM,,,,,,,,,,,,
40196,The Monster You Created,Season 1,Arcane,Arcane - The Monster You Created,1,9,episode,Fortiche Production,1640919364,1640922951,3587,12/30/21 10:56 PM,12/30/21 11:55 PM,,,,,,,,,,,,
28736,Assassination Time,Season 1,Assassination Classroom,Assassination Classroom - Assassination Time,1,1,episode,Lerche,1651899397,1651900072,675,5/7/22 12:56 AM,5/7/22 1:07 AM,,,,,,,,,,,,
28737,Baseball Time,Season 1,Assassination Classroom,Assassination Classroom - Baseball Time,1,2,episode,Lerche,1652232865,1652232984,119,5/10/22 9:34 PM,5/10/22 9:36 PM,,,,,,,,,,,,
28738,Karma Time,Season 1,Assassination Classroom,Assassination Classroom - Karma Time,1,3,episode,Lerche,1655402140,1655403925,1785,6/16/22 1:55 PM,6/16/22 2:25 PM,,,,,,,,,,,,
28739,Grown-Up Time,Season 1,Assassination Classroom,Assassination Classroom - Grown-Up Time,1,4,episode,Lerche,1655428344,1655428389,45,6/16/22 9:12 PM,6/16/22 9:13 PM,,,,,,,,,,,,
28740,Assembly Time,Season 1,Assassination Classroom,Assassination Classroom - Assembly Time,1,5,episode,Lerche,1655429744,1655432577,2833,6/16/22 9:35 PM,6/16/22 10:22 PM,,,,,,,,,,,,
28741,Test Time,Season 1,Assassination Classroom,Assassination Classroom - Test Time,1,6,episode,Lerche,1655476478,1655478056,1578,6/17/22 10:34 AM,6/17/22 11:00 AM,,,,,,,,,,,,
28742,"School Trip Time, First Period",Season 1,Assassination Classroom,"Assassination Classroom - School Trip Time, First Period",1,7,episode,Lerche,1655487308,1655488986,1678,6/17/22 1:35 PM,6/17/22 2:03 PM,,,,,,,,,,,,
28743,"School Trip Time, Second Period",Season 1,Assassination Classroom,"Assassination Classroom - School Trip Time, Second Period",1,8,episode,Lerche,1655488987,1655490585,1598,6/17/22 2:03 PM,6/17/22 2:29 PM,,,,,,,,,,,,
28744,Transfer Student Time,Season 1,Assassination Classroom,Assassination Classroom - Transfer Student Time,1,9,episode,Lerche,1655490710,1655492200,1490,6/17/22 2:31 PM,6/17/22 2:56 PM,,,,,,,,,,,,
28745,L and R Time,Season 1,Assassination Classroom,Assassination Classroom - L and R Time,1,10,episode,Lerche,1655493431,1655494763,1332,6/17/22 3:17 PM,6/17/22 3:39 PM,,,,,,,,,,,,
28746,"Transfer Student Time, Second Period",Season 1,Assassination Classroom,"Assassination Classroom - Transfer Student Time, Second Period",1,11,episode,Lerche,1655495969,1655496396,427,6/17/22 3:59 PM,6/17/22 4:06 PM,,,,,,,,,,,,
28747,Ball Game Tournament Time,Season 1,Assassination Classroom,Assassination Classroom - Ball Game Tournament Time,1,12,episode,Lerche,1655497414,1655498841,1427,6/17/22 4:23 PM,6/17/22 4:47 PM,,,,,,,,,,,,
28748,Talent Time,Season 1,Assassination Classroom,Assassination Classroom - Talent Time,1,13,episode,Lerche,1655498856,1655500383,1527,6/17/22 4:47 PM,6/17/22 5:13 PM,,,,,,,,,,,,
28749,Vision Time,Season 1,Assassination Classroom,Assassination Classroom - Vision Time,1,14,episode,Lerche,1655500384,1655501043,659,6/17/22 5:13 PM,6/17/22 5:24 PM,,,,,,,,,,,,
28750,End-of-Term Time,Season 1,Assassination Classroom,Assassination Classroom - End-of-Term Time,1,15,episode,Lerche,1655667632,1655668925,1293,6/19/22 3:40 PM,6/19/22 4:02 PM,,,,,,,,,,,,
28751,School's Out - First Term,Season 1,Assassination Classroom,Assassination Classroom - School's Out - First Term,1,16,episode,Lerche,1655685695,1655687170,1475,6/19/22 8:41 PM,6/19/22 9:06 PM,,,,,,,,,,,,
28752,Island Time,Season 1,Assassination Classroom,Assassination Classroom - Island Time,1,17,episode,Lerche,1655687172,1655689010,1838,6/19/22 9:06 PM,6/19/22 9:36 PM,,,,,,,,,,,,
28753,Action Time,Season 1,Assassination Classroom,Assassination Classroom - Action Time,1,18,episode,Lerche,1655689010,1655690181,1171,6/19/22 9:36 PM,6/19/22 9:56 PM,,,,,,,,,,,,
28754,Pandemonium Time,Season 1,Assassination Classroom,Assassination Classroom - Pandemonium Time,1,19,episode,Lerche,1655690182,1655691448,1266,6/19/22 9:56 PM,6/19/22 10:17 PM,,,,,,,,,,,,
28755,Karma Time/2nd Period,Season 1,Assassination Classroom,Assassination Classroom - Karma Time/2nd Period,1,20,episode,Lerche,1655691448,1655692678,1230,6/19/22 10:17 PM,6/19/22 10:37 PM,,,,,,,,,,,,
28756,XX Time,Season 1,Assassination Classroom,Assassination Classroom - XX Time,1,21,episode,Lerche,1655692679,1655693944,1265,6/19/22 10:37 PM,6/19/22 10:59 PM,,,,,,,,,,,,
28757,Nagisa Time,Season 1,Assassination Classroom,Assassination Classroom - Nagisa Time,1,22,episode,Lerche,1655693945,1655695288,1343,6/19/22 10:59 PM,6/19/22 11:21 PM,,,,,,,,,,,,
11231,"To You, in 2000 Years: The Fall of Shiganshina, Part 1",Season 1,Attack on Titan,"Attack on Titan - To You, in 2000 Years: The Fall of Shiganshina, Part 1",1,1,episode,NHK,1599677226,1599678920,1694,9/9/20 2:47 PM,9/9/20 3:15 PM,,,,,,,,,,,,
11232,"That Day: The Fall of Shiganshina, Part 2",Season 1,Attack on Titan,"Attack on Titan - That Day: The Fall of Shiganshina, Part 2",1,2,episode,NHK,1599678936,1599680454,1518,9/9/20 3:15 PM,9/9/20 3:40 PM,,,,,,,,,,,,
11233,"A Dim Light Amid Despair: Humanity's Comeback, Part 1",Season 1,Attack on Titan,"Attack on Titan - A Dim Light Amid Despair: Humanity's Comeback, Part 1",1,3,episode,NHK,1599680486,1599681792,1306,9/9/20 3:41 PM,9/9/20 4:03 PM,,,,,,,,,,,,
11234,"The Night of the Closing Ceremony: Humanity's Comeback, Part 2",Season 1,Attack on Titan,"Attack on Titan - The Night of the Closing Ceremony: Humanity's Comeback, Part 2",1,4,episode,NHK,1599681841,1599683222,1381,9/9/20 4:04 PM,9/9/20 4:27 PM,,,,,,,,,,,,
